parameter,value
session_start,2026-06-10 03:31:37
session_end,2026-06-10 08:30:22
duration_min,298.7
""
n_nodes,4
nodes,"No 1, No 2, No 3, No 4"
n_rejoins,4
""
toa_teorico_avg_ms,97.54
G_calc_method,tx_attempt_count (directo)
traffic_load_G_real,0.0265
P_collision_theory_%,5.15
utilizacao_canal_total_%,2.54
""
S_observado,0.0245
S_pure_aloha_teoria,0.0251
""
total_tx,4861
total_rx,4675
total_lost,185
pdr_uplink_%,96.17
""
collision_rate_fcnt_%,3.81
collisions_fcnt_gap,185
collision_rate_temporal_%,0.02
collisions_temporal,1
pdr_canal_%,99.98
pdr_plus_collision_%,99.98
""
rssi_mean_dBm,-57.44
snr_mean_dB,13.02
link_margin_mean_dB,62.56
